Mxenes,deltaG_H
CrCrBF2-1,0.3978306
CrCrBF2-2,2.3810696
CrCrBF2-3,2.4661076
CrHfCF2-1,1.5775934
CrHfCF2-2,2.2858796
CrHfCF2-3,2.2806703
CrMoCF2-1,-0.3275536
CrMoCF2-2,1.2831992
CrMoCF2-3,1.2390134
CrMoNCl2-1,1.2357224
CrMoNCl2-2,2.4717678
CrMoNCl2-3,2.4161191
CrMoNO2-1,-0.905786
CrMoNO2-2,2.2748269
CrMoNO2-3,-0.6405066
CrMoNS2-1,-0.05732761
CrMoNS2-2,0.77746069
CrMoNS2-3,0.96994259
CrMoNX-1,-1.0500833
CrMoNX-2,-0.1217908
CrMoNX-3,-1.1975665
CrNbBF2-1,2.0359358
CrNbBF2-2,2.261246
CrNbBF2-3,2.3065943
CrScNF2-1,1.8416193
CrScNF2-2,2.2406927
CrScNF2-3,2.2845985
CrVCF2-1,1.1061528
CrVCF2-2,2.3546827
CrVCF2-3,2.2867928
CrYBCl2-1,1.0984191
CrYBCl2-2,2.1939444
CrYBCl2-3,2.2063976
CrYBO2-1,-0.5331964
CrYBO2-2,0.0837412
CrYBO2-3,2.0648758
CrYBS2-1,-0.92324259
CrYBS2-2,-1.06681299
CrYBS2-3,-0.42083489
CrYBX-1,-0.07537382
CrYBX-2,-0.13351326
CrYBX-3,-0.50614669
CrZrNF2-1,1.8955654
CrZrNF2-2,2.2323555
CrZrNF2-3,2.2867708
HfCrBCl2-1,2.7427352
HfCrBCl2-2,2.3900006
HfCrBCl2-3,2.3425285
HfCrBO2-1,0.5194822
HfCrBO2-2,2.1378233
HfCrBO2-3,2.3107162
HfCrBS2-1,0.29313397
HfCrBS2-2,-0.13502233
HfCrBS2-3,-0.46537783
HfCrBX-1,-1.3298613
HfCrBX-2,0.3393724
HfCrBX-3,-1.0705197
HfCrCCl2-1,2.1828818
HfCrCCl2-2,2.3225611
HfCrCCl2-3,2.34392
HfCrCO2-1,-0.0101392
HfCrCO2-2,2.0466211
HfCrCO2-3,2.1227239
HfCrCS2-1,0.04577657
HfCrCS2-2,0.33868917
HfCrCS2-3,0.69178817
HfCrCX-1,-1.394454
HfCrCX-2,0.4666601
HfCrCX-3,-1.0599221
HfCrNCl2-1,2.1977225
HfCrNCl2-2,2.3383105
HfCrNCl2-3,2.3189968
HfCrNF2-1,1.9227427
HfCrNF2-2,2.0544438
HfCrNF2-3,1.9671296
HfCrNO2-1,1.497432
HfCrNO2-2,2.3549159
HfCrNO2-3,2.3249574
HfCrNS2-1,0.6019985
HfCrNS2-2,2.1838684
HfCrNS2-3,2.1139507
HfCrNX-1,-1.4297569
HfCrNX-2,0.4538102
HfCrNX-3,0.1200928
HfHfBCl2-1,2.2612022
HfHfBCl2-2,2.3339142
HfHfBCl2-3,2.3335462
HfHfBO2-1,-0.1712212
HfHfBO2-2,2.2473493
HfHfBO2-3,2.3110239
HfHfBS2-1,0.15296346
HfHfBS2-2,0.75229556
HfHfBS2-3,-0.19467974
HfHfBX-1,-0.6896045
HfHfBX-2,0.2702176
HfHfBX-3,-0.9201317
HfHfNF2-1,2.42772
HfHfNF2-2,2.4956652
HfHfNF2-3,2.3164723
HfMnCCl2-1,2.4324182
HfMnCCl2-2,1.5599185
HfMnCCl2-3,2.47391
HfMnCO2-1,0.7002727
HfMnCO2-2,2.2400489
HfMnCO2-3,2.2751284
HfMnCS2-1,0.11608503
HfMnCS2-2,0.68172603
HfMnCS2-3,0.79932613
HfMnCX-1,-2.7766954
HfMnCX-2,-0.8962613
HfMnCX-3,-1.5647907
HfMoNF2-1,2.1159006
HfMoNF2-2,2.1419573
HfMoNF2-3,2.067502
HfNbBF2-1,2.9981969
HfNbBF2-2,2.3716291
HfNbBF2-3,2.2973938
HfNbCF2-1,2.4344946
HfNbCF2-2,2.3210997
HfNbCF2-3,2.2960083
HfScBF2-1,2.4287954
HfScBF2-2,2.2296517
HfScBF2-3,2.2970644
HfTiCCl2-1,2.2119466
HfTiCCl2-2,2.3181705
HfTiCCl2-3,2.3411545
HfTiCO2-1,0.8428253
HfTiCO2-2,2.2590003
HfTiCO2-3,2.2797853
HfTiCS2-1,0.19801929
HfTiCS2-2,0.80118299
HfTiCS2-3,0.87885189
HfTiCX-1,-1.4629361
HfTiCX-2,0.3990976
HfTiCX-3,-1.0586451
HfTiNCl2-1,2.4602028
HfTiNCl2-2,2.3376142
HfTiNCl2-3,2.3169899
HfTiNO2-1,1.0489903
HfTiNO2-2,1.3971121
HfTiNO2-3,2.3124128
HfTiNS2-1,0.59352556
HfTiNS2-2,2.14326406
HfTiNS2-3,2.02183786
HfTiNX-1,-1.1854271
HfTiNX-2,0.4778387
HfTiNX-3,-1.0835865
HfVCF2-1,2.3312806
HfVCF2-2,2.3666491
HfVCF2-3,2.3022475
HfVNCl2-1,2.1730519
HfVNCl2-2,2.3088769
HfVNCl2-3,2.3151455
HfVNO2-1,1.2698066
HfVNO2-2,2.3461351
HfVNO2-3,2.2906899
HfVNS2-1,0.42977087
HfVNS2-2,2.14784487
HfVNS2-3,2.09075007
HfVNX-1,-1.1780827
HfVNX-2,0.4949332
HfVNX-3,-0.6286022
HfYBF2-1,2.4198483
HfYBF2-2,2.0461258
HfYBF2-3,2.3204144
HfZrCF2-1,2.4166791
HfZrCF2-2,2.4108633
HfZrCF2-3,2.3025756
MnCrBCl2-1,1.3094037
MnCrBCl2-2,2.3928118
MnCrBCl2-3,2.3443394
MnCrBO2-1,-1.1369103
MnCrBO2-2,1.5400991
MnCrBO2-3,2.0663549
MnCrBS2-1,0.43128079
MnCrBS2-2,0.95159059
MnCrBS2-3,0.72913459
MnCrBX-1,-3.62980715
MnCrBX-2,-2.28673388
MnCrBX-3,-3.51246683
MnCrCCl2-1,1.1939625
MnCrCCl2-2,2.2527271
MnCrCCl2-3,1.8067959
MnCrCO2-1,-1.6821114
MnCrCO2-2,0.7017894
MnCrCO2-3,-1.8919386
MnCrCS2-1,-1.5210002
MnCrCS2-2,-0.8763805
MnCrCS2-3,0.6108569
MnCrCX-1,-0.7836156
MnCrCX-2,-0.3313415
MnCrCX-3,-0.6440857
MnCrNCl2-1,2.2089554
MnCrNCl2-2,2.2566886
MnCrNCl2-3,2.372391
MnCrNO2-1,-1.2620486
MnCrNO2-2,1.9128147
MnCrNO2-3,-0.94493
MnCrNS2-1,-0.16233973
MnCrNS2-2,1.82678877
MnCrNS2-3,1.57621277
MnCrNX-1,0.5538606
MnCrNX-2,0.5176552
MnCrNX-3,0.9194055
MnHfBCl2-1,1.6471188
MnHfBCl2-2,2.3238013
MnHfBCl2-3,2.3406132
MnHfBO2-1,-0.9526589
MnHfBO2-2,1.392879
MnHfBO2-3,0.6407923
MnHfBS2-1,0.21519093
MnHfBS2-2,1.39702153
MnHfBS2-3,1.25411063
MnHfBX-1,-0.49985053
MnHfBX-2,0.00662487
MnHfBX-3,0.04488097
MnHfCF2-1,0.9535473
MnHfCF2-2,2.3078455
MnHfCF2-3,2.0245043
MnMnBCl2-1,1.3137366
MnMnBCl2-2,2.4072326
MnMnBCl2-3,2.3770491
MnMnBO2-1,-1.3372893
MnMnBO2-2,2.2473
MnMnBO2-3,0.0598556
MnMnBS2-1,-0.00665368
MnMnBS2-2,0.64711292
MnMnBS2-3,1.06825922
MnMnBX-1,-1.18964695
MnMnBX-2,0.62421
MnMnBX-3,-0.81685633
MnMnNCl2-1,1.3113952
MnMnNCl2-2,2.330413
MnMnNCl2-3,2.4208097
MnMnNO2-1,-1.0342701
MnMnNO2-2,1.6343912
MnMnNO2-3,2.049527
MnMnNS2-1,0.2238055
MnMnNS2-2,-0.4661218
MnMnNS2-3,-0.5938048
MnMnNX-1,-1.19704257
MnMnNX-2,-0.38942487
MnMnNX-3,-0.71469967
MnMoBCl2-1,0.5889958
MnMoBCl2-2,3.1132914
MnMoBCl2-3,2.2673271
MnMoBO2-1,-1.1618136
MnMoBO2-2,1.5278261
MnMoBO2-3,1.9479425
MnMoBS2-1,-0.04966273
MnMoBS2-2,0.68823487
MnMoBS2-3,0.99551287
MnMoBX-1,-2.39414592
MnMoBX-2,-1.83297972
MnMoBX-3,-2.49655092
MnMoNF2-1,2.4102826
MnMoNF2-2,2.2068882
MnMoNF2-3,2.3031336
MnNbCCl2-1,0.75543
MnNbCCl2-2,2.1760659
MnNbCCl2-3,2.1712736
MnNbCO2-1,-1.7905896
MnNbCO2-2,1.1706475
MnNbCO2-3,-0.0117088
MnNbCS2-1,-0.10568667
MnNbCS2-2,0.70350443
MnNbCS2-3,0.92405733
MnNbCX-1,-0.5290537
MnNbCX-2,-0.2177547
MnNbCX-3,-0.2776156
MnScBCl2-1,1.4414082
MnScBCl2-2,2.3333943
MnScBCl2-3,2.3151884
MnScBO2-1,-0.4142876
MnScBO2-2,1.5245452
MnScBO2-3,-2.0129045
MnScBS2-1,0.09898927
MnScBS2-2,0.20480807
MnScBS2-3,1.19402247
MnScBX-1,-2.65922002
MnScBX-2,-2.07241843
MnScBX-3,-2.53725953
MnTiBF2-1,1.0894269
MnTiBF2-2,2.2890417
MnTiBF2-3,2.2817042
MnTiCCl2-1,0.7801151
MnTiCCl2-2,1.8966158
MnTiCCl2-3,1.9262414
MnTiCO2-1,-0.1949139
MnTiCO2-2,2.3962933
MnTiCO2-3,2.0243418
MnTiCS2-1,0.05537681
MnTiCS2-2,0.79501311
MnTiCS2-3,1.13135821
MnTiCX-1,-0.6115457
MnTiCX-2,-0.19998
MnTiCX-3,-0.4392994
MnTiNF2-1,2.7402924
MnTiNF2-2,2.4423101
MnTiNF2-3,2.4532527
MnVCF2-1,0.9955129
MnVCF2-2,2.2152379
MnVCF2-3,2.3782849
MnVNCl2-1,0.7087629
MnVNCl2-2,1.8648413
MnVNCl2-3,1.1796227
MnVNO2-1,-1.7998179
MnVNO2-2,1.8790889
MnVNO2-3,1.88139
MnVNS2-1,0.46527448
MnVNS2-2,0.78476008
MnVNS2-3,1.02724668
MnVNX-1,-0.0838739
MnVNX-2,0.8382169
MnVNX-3,-0.7081221
MnYBCl2-1,1.334436
MnYBCl2-2,2.388228
MnYBCl2-3,3.5326758
MnYBO2-1,-3.4881188
MnYBO2-2,0.4777044
MnYBO2-3,2.0118275
MnYBS2-1,0.14239289
MnYBS2-2,-0.12144491
MnYBS2-3,0.56501829
MnYBX-1,-0.30399133
MnYBX-2,-0.02843267
MnYBX-3,-0.20947312
MnYCCl2-1,1.4758324
MnYCCl2-2,2.349591
MnYCCl2-3,2.4535459
MnYCO2-1,-2.0218885
MnYCO2-2,-1.8543075
MnYCO2-3,-0.0395802
MnYCS2-1,1.82065127
MnYCS2-2,2.17481617
MnYCS2-3,1.41223957
MnYCX-1,-0.20362097
MnYCX-2,0.03425098
MnYCX-3,0.2377568
MnYNCl2-1,0.536091
MnYNCl2-2,2.4728387
MnYNCl2-3,2.7251538
MnYNO2-1,-0.8383281
MnYNO2-2,2.3073922
MnYNO2-3,2.0795067
MnYNS2-1,0.82493536
MnYNS2-2,0.95990546
MnYNS2-3,1.23042526
MnYNX-1,-0.46162156
MnYNX-2,0.19162104
MnYNX-3,-0.26918716
MnZrBF2-1,1.1504844
MnZrBF2-2,2.2922156
MnZrBF2-3,2.2704596
MnZrNF2-1,2.5700303
MnZrNF2-2,2.2991017
MnZrNF2-3,2.4545079
MoCrBF2-1,1.8125551
MoCrBF2-2,2.3994089
MoCrBF2-3,2.2746938
MoCrCF2-1,0.7876662
MoCrCF2-2,1.4064833
MoCrCF2-3,1.5192106
MoCrNF2-1,2.3181573
MoCrNF2-2,2.081659
MoCrNF2-3,2.0958969
MoHfNCl2-1,1.8899718
MoHfNCl2-2,2.3139207
MoHfNCl2-3,2.3311427
MoHfNO2-1,3.8235201
MoHfNO2-2,-0.4290226
MoHfNO2-3,2.0047008
MoHfNS2-1,-0.95727866
MoHfNS2-2,0.73994094
MoHfNS2-3,0.17279924
MoHfNX-1,-0.8179536
MoHfNX-2,-0.4654548
MoHfNX-3,-0.8325797
MoNbNCl2-1,0.5322066
MoNbNCl2-2,1.1245444
MoNbNCl2-3,1.1215397
MoNbNO2-1,-1.1750594
MoNbNO2-2,-0.5169758
MoNbNO2-3,2.3370155
MoNbNS2-1,0.26895888
MoNbNS2-2,2.25658608
MoNbNS2-3,1.26370088
MoNbNX-1,-1.3601937
MoNbNX-2,-0.7722701
MoNbNX-3,-1.2500836
MoScBF2-1,2.0242453
MoScBF2-2,2.507222
MoScBF2-3,2.2759561
MoScCF2-1,1.9495178
MoScCF2-2,2.3378467
MoScCF2-3,2.2805418
MoTiNF2-1,2.3284122
MoTiNF2-2,2.2161386
MoTiNF2-3,2.2672699
MoVBF2-1,1.4924648
MoVBF2-2,2.2020464
MoVBF2-3,2.2826208
MoVCF2-1,1.83807
MoVCF2-2,2.2238355
MoVCF2-3,2.2848413
MoYBCl2-1,1.6090585
MoYBCl2-2,2.3268707
MoYBCl2-3,2.378022
MoYBO2-1,-0.3737176
MoYBO2-2,1.5823609
MoYBO2-3,2.5571654
MoYBS2-1,0.16953802
MoYBS2-2,2.03803042
MoYBS2-3,1.35683852
MoYBX-1,-0.17085925
MoYBX-2,0.05487398
MoYBX-3,-0.34525193
MoYCCl2-1,2.0258943
MoYCCl2-2,2.3508186
MoYCCl2-3,2.256496
MoYCO2-1,-1.3987915
MoYCO2-2,0.6715164
MoYCO2-3,2.2997243
MoYCS2-1,-1.16721543
MoYCS2-2,0.54707837
MoYCS2-3,0.36774847
MoYCX-1,-0.9576578
MoYCX-2,-0.4091833
MoYCX-3,-0.2448013
MoYNF2-1,2.4879832
MoYNF2-2,2.1407266
MoYNF2-3,2.206034
MoZrBCl2-1,1.5750018
MoZrBCl2-2,2.3109693
MoZrBCl2-3,2.3891143
MoZrBO2-1,-1.0607706
MoZrBO2-2,0.9047483
MoZrBO2-3,2.1523554
MoZrBS2-1,-0.1550679
MoZrBS2-2,2.0832681
MoZrBS2-3,1.2704237
MoZrBX-1,-0.616036
MoZrBX-2,-0.0627211
MoZrBX-3,-0.5920056
MoZrCCl2-1,1.7374222
MoZrCCl2-2,2.3341338
MoZrCCl2-3,2.427899
MoZrCO2-1,-1.4333851
MoZrCO2-2,1.0371223
MoZrCO2-3,2.2768349
MoZrCS2-1,-0.99388034
MoZrCS2-2,2.10835126
MoZrCS2-3,0.39918836
MoZrCX-1,-1.1730983
MoZrCX-2,-0.3122076
MoZrCX-3,-0.7830014
NbCrBF2-1,2.6164179
NbCrBF2-2,2.1786338
NbCrBF2-3,2.2622005
NbCrCCl2-1,2.3056738
NbCrCCl2-2,2.363195
NbCrCCl2-3,2.3278461
NbCrCO2-1,0.6800725
NbCrCO2-2,1.1506357
NbCrCO2-3,2.0492094
NbCrCS2-1,0.3968868
NbCrCS2-2,0.9770232
NbCrCS2-3,1.2807302
NbCrCX-1,-1.3886528
NbCrCX-2,0.0513569
NbCrCX-3,-0.9465769
NbCrNCl2-1,2.4380993
NbCrNCl2-2,2.3623561
NbCrNCl2-3,2.3223182
NbCrNO2-1,-0.4282436
NbCrNO2-2,2.3432357
NbCrNO2-3,1.6507022
NbCrNS2-1,0.20016249
NbCrNS2-2,2.32610729
NbCrNS2-3,1.29065569
NbCrNX-1,-1.5598396
NbCrNX-2,-0.4499167
NbCrNX-3,-1.3060086
NbHfBCl2-1,2.4903317
NbHfBCl2-2,2.3017183
NbHfBCl2-3,2.3297643
NbHfBO2-1,0.600912
NbHfBO2-2,2.3340198
NbHfBO2-3,2.4478499
NbHfBS2-1,0.11283762
NbHfBS2-2,0.78223092
NbHfBS2-3,-0.13845938
NbHfBX-1,-2.0399028
NbHfBX-2,-0.5279659
NbHfBX-3,-1.7449415
NbMnNCl2-1,1.1987215
NbMnNCl2-2,2.2683174
NbMnNCl2-3,2.203461
NbMnNO2-1,4.1849263
NbMnNO2-2,-0.1936411
NbMnNO2-3,2.3662356
NbMnNS2-1,0.51247222
NbMnNS2-2,2.13920962
NbMnNS2-3,1.30284762
NbMnNX-1,-1.1258338
NbMnNX-2,3.2582343
NbMnNX-3,-0.7685411
NbMoCF2-1,2.2099253
NbMoCF2-2,1.0736297
NbMoCF2-3,2.276116
NbMoNCl2-1,1.152146
NbMoNCl2-2,1.2938902
NbMoNCl2-3,1.2836607
NbMoNO2-1,-0.5010514
NbMoNO2-2,0.0884232
NbMoNO2-3,2.3304504
NbMoNS2-1,0.41888566
NbMoNS2-2,2.12807626
NbMoNS2-3,1.22128296
NbMoNX-1,-0.9635413
NbMoNX-2,-0.2300642
NbMoNX-3,-1.1288164
NbNbBF2-1,2.4696119
NbNbBF2-2,2.2193079
NbNbBF2-3,2.2828179
NbNbCF2-1,2.4615742
NbNbCF2-2,2.2944254
NbNbCF2-3,2.2802482
NbNbNF2-1,2.3319551
NbNbNF2-2,1.0927042
NbNbNF2-3,2.2784604
NbScBF2-1,2.1761431
NbScBF2-2,1.1880906
NbScBF2-3,2.2739478
NbTiCCl2-1,2.4862767
NbTiCCl2-2,2.2966686
NbTiCCl2-3,2.3259674
NbTiCO2-1,0.47811
NbTiCO2-2,1.3300502
NbTiCO2-3,2.2920172
NbTiCS2-1,0.44112539
NbTiCS2-2,2.11433699
NbTiCS2-3,1.41005619
NbTiCX-1,-1.4313942
NbTiCX-2,0.0483974
NbTiCX-3,-0.9535256
NbTiNCl2-1,2.4376854
NbTiNCl2-2,2.2445573
NbTiNCl2-3,2.2887547
NbTiNO2-1,0.7378253
NbTiNO2-2,1.1956528
NbTiNO2-3,2.2628349
NbTiNS2-1,-0.04171524
NbTiNS2-2,2.13344116
NbTiNS2-3,1.94525896
NbTiNX-1,-1.3833173
NbTiNX-2,0.0625263
